Appliance Model Configuration,,,,,,,,,
,,,,,,,,,
1,"UK Market Transformation Programme, Department for Environment, Food and Rural Affairs, Smith Square, London, UK, http://www.mtprog.com/.  Crown Copyright.",,,,,,,,
,"BN DW Shower: Actions to improve shower desidn and efficiency - Briefing Note relating to policy scenario objectives in Policy Brief (Version 2.0), 2006",,,,,,,,
,"BNXS30: Vacuum cleaners - UK market, technologies, energy use, test methods and waste (Version 1.7), 2006",,,,,,,,
,"BNW06: Assumptions underlying the energy projections for domestic tumble dryers (Version 3.1), 2006",,,,,,,,
,"BNCK07: Comparing energy use in microwave ovens with traditional electric fuelled methods (Version 1.1), 2006",,,,,,,,
,"BNCK06: Trends in kettle type and usage and possible impact on energy consumption (Version 2.1), 2006",,,,,,,,
,"BNXS36: Estimated UK standby electricity consumption in 2006 (Version 2.2), 2006",,,,,,,,
,"Policy brief: Improving the energy performance of domestic cold appliance, 2008",,,,,,,,
,"BNW07: Assumptions underlying the energy projections for domestic dishwashers (Version 3.1), 2006",,,,,,,,
,"BNWAT24: Performance and efficiency: reviewing and defining showers (Version 1.0), 2008",,,,,,,,
,"BNW05: Assumptions underlying the energy projections for domestic washing machines (Version 3.1), 2006",,,,,,,,
,"BNTV01: Televisions: Future Stock and Energy Trends (Version 3.1), 2005",,,,,,,,
,"BNDA3: Digital TV adapters in the UK - rationale/assumptions for projecting future energy consumption (Version 1.1), 2005",,,,,,,,
,"Policy brief: Improving the energy performance of consumer electronics products, 2008",,,,,,,,
,"Policy brief: Improving the energy performance of information and communication technology products, 2008",,,,,,,,
,,,,,,,,,
2,"  UK Department of Energy and Climate Change, Energy Consumption in the UK, Domestic data tables, A National Statistics Publication. ",,,,,,,,
,"Energy consumption in the UK, Domestic Energy Consumption in the UK",,,,,,,,
,http://www.decc.gov.uk/en/content/cms/statistics/publications/ecuk/ecuk.aspx,,,,,,,,
,Table 3.6: Domestic energy consumption by end use,,,,,,,,
,Table 3.7: Domestic energy consumption by end use and fuel,,,,,,,,
,Table 3.10: Total electricity consumption by household domestic appliances,,,,,,,,
,Table 3.12: Percentage of households owning domestic appliances,,,,,,,,
,Table 3.14: Households with central heating by type in Great Britain,,,,,,,,
