Sample installed bulbs data sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 sample bulb configuration examples are provided below.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The data has been generated stochastically, based upon statistics available from:",,,,,,,,"(1) The Lighting Association, In Home Lighting Audit Report, Domestic Lighting Report 2008.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"(2) Market Transformation Programme, Assumptions for energy scenarios in the domestic lighting sector, version 4.0, 2008.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House,Fitting,Example bulb ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,12,12,50,100,35,60,60,40,9,12,60,60,20,20,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,18,60,60,60,60,70,100,9,40,65,20,60,60,50,9,60,40,60,40,0,0,0,0,0,0,0,0,0,0,0,0,
3,27,60,60,60,60,40,35,60,60,65,9,35,60,60,100,60,60,60,60,40,100,40,60,12,60,40,50,60,0,0,0,
4,28,60,61,125,100,100,40,100,60,70,100,35,12,100,60,60,60,40,40,60,60,60,100,60,60,20,100,100,50,0,0,
5,21,9,60,500,9,56,70,50,60,60,60,60,20,35,100,35,40,60,40,60,60,40,0,0,0,0,0,0,0,0,0,
6,30,60,40,85,85,20,100,40,500,100,20,12,35,20,60,50,60,60,60,12,9,35,40,35,60,50,60,60,60,35,100,
7,22,100,60,9,100,100,12,100,40,60,60,20,20,65,75,40,60,12,100,60,100,100,35,0,0,0,0,0,0,0,0,
8,23,50,60,100,40,100,40,9,12,20,150,85,20,60,40,40,60,20,20,60,40,20,100,40,0,0,0,0,0,0,0,
9,26,70,60,60,60,100,40,60,60,60,40,40,20,500,60,60,40,60,40,60,100,35,60,60,40,60,60,0,0,0,0,
10,30,55,9,100,12,100,100,20,40,60,65,12,60,50,60,12,60,12,100,20,35,50,60,40,60,60,9,60,100,12,60,
11,26,150,55,9,100,40,100,60,60,60,40,100,60,60,60,60,60,9,100,60,60,60,50,60,20,19,100,0,0,0,0,
12,26,20,60,60,40,12,70,20,60,60,40,100,75,40,60,20,60,20,50,100,60,60,60,40,100,12,35,0,0,0,0,
13,24,55,60,60,40,100,60,500,20,60,40,12,50,60,150,60,100,35,60,60,3,100,100,35,100,0,0,0,0,0,0,
14,22,60,40,70,100,40,60,12,105,60,100,40,60,100,60,40,9,40,60,65,60,12,26,0,0,0,0,0,0,0,0,
15,21,60,40,60,12,40,100,60,40,60,40,60,40,60,205,60,35,40,60,300,20,20,0,0,0,0,0,0,0,0,0,
16,23,60,100,12,60,105,50,50,100,100,60,100,35,12,40,100,50,20,100,60,100,100,60,60,0,0,0,0,0,0,0,
17,18,40,60,60,60,40,60,35,170,40,12,100,50,20,60,12,40,60,40,0,0,0,0,0,0,0,0,0,0,0,0,
